1000	-382.18	0.0	3.07	1.0	0.0	0.0	0.0
2000	-375.05	0.01	3.13	1.0	0.0	0.0	0.0
3000	-388.73	0.01	3.16	1.0	0.0	0.0	0.0
4000	-372.78	0.0	3.59	1.0	0.0	0.0	0.0
5000	-380.97	0.02	3.46	1.0	0.0	0.0	0.0
6000	-371.1	0.0	3.38	1.0	0.0	0.0	0.0
7000	-379.25	0.01	3.58	1.0	0.0	0.0	0.0
8000	-369.58	0.03	3.9	1.0	0.0	0.0	0.0
9000	-354.04	0.06	4.08	1.0	0.0	0.0	0.0
10000	-355.31	0.01	3.67	1.0	0.0	0.0	0.0
11000	-338.58	0.03	4.21	0.99	0.0	0.01	0.0
12000	-350.31	0.06	4.27	1.0	0.0	0.0	0.0
13000	-348.99	0.04	3.82	0.99	0.0	0.01	0.0
14000	-351.51	0.07	3.95	0.99	0.0	0.01	0.0
15000	-328.48	0.08	4.34	0.99	0.0	0.01	0.0
16000	-324.75	0.08	4.65	0.99	0.0	0.01	0.0
17000	-265.14	0.11	5.39	1.0	0.0	0.0	0.0
18000	-234.98	0.1	4.58	0.97	0.0	0.03	0.0
19000	-287.45	0.1	4.62	0.95	0.0	0.05	0.0
20000	-280.35	0.12	4.82	1.0	0.0	0.0	0.0
21000	-310.19	0.07	4.6	0.98	0.0	0.02	0.0
22000	-247.73	0.19	5.74	0.98	0.0	0.02	0.0
23000	-205.23	0.09	5.48	0.97	0.0	0.03	0.0
24000	-278.57	0.11	5.79	0.99	0.0	0.01	0.0
25000	-271.27	0.08	5.93	0.97	0.0	0.03	0.0
26000	-192.62	0.13	5.89	0.97	0.0	0.03	0.0
27000	-229.53	0.15	6.66	0.97	0.0	0.03	0.0
28000	-214.79	0.15	7.05	0.96	0.0	0.04	0.0
29000	-197.38	0.17	7.43	0.97	0.0	0.03	0.0
30000	-195.04	0.15	7.71	0.96	0.0	0.04	0.0
31000	-110.58	0.29	8.89	0.95	0.0	0.05	0.0
32000	-172.82	0.26	8.1	0.99	0.0	0.01	0.0
33000	-129.01	0.29	8.71	0.92	0.01	0.08	0.0
34000	-169.54	0.3	9.06	0.92	0.0	0.08	0.0
35000	-139.22	0.23	8.82	0.96	0.0	0.04	0.0
36000	-107.47	0.29	9.9	0.92	0.01	0.08	0.0
37000	-90.19	0.33	9.87	0.93	0.0	0.07	0.0
38000	-44.7	0.42	10.42	0.89	0.0	0.11	0.0
39000	-72.56	0.35	10.31	0.96	0.0	0.04	0.0
40000	-11.68	0.4	11.12	0.91	0.0	0.09	0.0
41000	0.7	0.44	12.16	0.94	0.0	0.06	0.0
42000	-18.1	0.5	11.77	0.93	0.01	0.07	0.0
43000	-32.55	0.37	10.47	0.93	0.0	0.07	0.0
44000	44.24	0.65	12.96	0.91	0.03	0.09	0.0
45000	71.78	0.63	13.33	0.88	0.03	0.12	0.0
46000	41.49	0.47	13.76	0.97	0.01	0.03	0.0
47000	62.67	0.57	13.43	0.92	0.0	0.08	0.0
48000	90.49	0.62	13.82	0.9	0.0	0.1	0.0
49000	96.8	0.54	14.26	0.89	0.0	0.11	0.0
50000	103.7	0.58	13.91	0.96	0.03	0.04	0.0
51000	196.16	0.7	16.07	0.84	0.02	0.14	0.02
52000	131.42	0.72	16.45	0.97	0.01	0.03	0.0
53000	95.56	0.53	14.8	0.96	0.01	0.03	0.01
54000	99.77	0.7	14.97	0.93	0.01	0.07	0.0
55000	162.44	0.75	16.69	0.93	0.0	0.07	0.0
56000	318.46	0.89	18.45	0.81	0.02	0.17	0.02
57000	337.63	0.94	19.36	0.89	0.05	0.1	0.01
58000	423.95	1.14	21.9	0.88	0.03	0.12	0.0
59000	224.48	1.03	19.48	0.89	0.03	0.1	0.01
60000	254.31	0.88	19.81	0.89	0.02	0.09	0.02
61000	379.09	0.92	20.32	0.85	0.0	0.1	0.05
62000	422.0	1.01	22.0	0.86	0.03	0.12	0.02
63000	562.02	1.34	25.08	0.8	0.01	0.12	0.08
64000	588.08	1.29	24.7	0.87	0.11	0.08	0.05
65000	78.83	1.21	20.72	0.75	0.03	0.2	0.05
66000	487.39	1.08	22.77	0.75	0.03	0.18	0.07
67000	519.61	1.34	24.92	0.84	0.05	0.13	0.03
68000	450.89	1.11	21.82	0.71	0.02	0.23	0.06
69000	446.45	1.19	21.98	0.7	0.0	0.22	0.08
70000	573.97	1.3	24.77	0.82	0.06	0.07	0.11
71000	542.6	1.31	26.03	0.83	0.05	0.12	0.05
72000	383.23	0.93	19.79	0.75	0.04	0.17	0.08
73000	714.09	1.37	26.65	0.68	0.06	0.15	0.17
74000	583.03	1.33	25.9	0.8	0.08	0.13	0.07
75000	564.31	1.44	26.58	0.77	0.07	0.18	0.05
76000	466.63	1.09	20.89	0.69	0.04	0.19	0.12
77000	732.97	1.6	29.15	0.82	0.05	0.06	0.12
78000	742.73	1.64	29.26	0.52	0.05	0.23	0.25
79000	651.06	1.52	27.02	0.68	0.09	0.23	0.09
80000	897.91	1.8	30.37	0.59	0.07	0.21	0.2
81000	844.07	1.59	29.26	0.71	0.05	0.18	0.11
82000	885.69	1.64	30.89	0.57	0.08	0.21	0.22
83000	907.86	1.71	31.61	0.72	0.08	0.13	0.15
84000	717.9	1.62	28.06	0.61	0.05	0.19	0.2
85000	685.17	1.57	28.08	0.66	0.04	0.27	0.07
86000	825.82	1.66	29.49	0.72	0.09	0.11	0.17
87000	746.55	1.81	31.99	0.83	0.06	0.1	0.07
88000	1020.91	1.86	31.77	0.61	0.16	0.15	0.24
89000	1072.36	1.98	33.44	0.6	0.06	0.19	0.21
90000	858.51	1.64	29.9	0.63	0.04	0.16	0.21
91000	806.01	1.48	29.27	0.6	0.08	0.22	0.18
92000	856.59	1.48	29.17	0.67	0.11	0.16	0.17
93000	959.82	1.85	32.05	0.38	0.1	0.26	0.36
94000	1111.57	1.97	33.14	0.57	0.11	0.16	0.27
95000	1001.48	1.67	32.25	0.47	0.05	0.19	0.34
96000	1164.92	2.07	35.25	0.56	0.05	0.11	0.33
97000	835.95	1.75	29.88	0.68	0.05	0.17	0.15
98000	1099.77	1.88	32.01	0.46	0.12	0.29	0.25
99000	1352.94	2.36	37.73	0.47	0.15	0.25	0.28
100000	1107.26	1.94	35.06	0.63	0.17	0.16	0.21
101000	1098.66	1.91	33.16	0.49	0.06	0.25	0.26
102000	1157.07	1.9	34.21	0.47	0.1	0.29	0.24
103000	1300.04	2.16	34.67	0.31	0.16	0.34	0.35
104000	898.47	1.78	32.27	0.37	0.16	0.3	0.33
105000	1383.34	2.17	36.53	0.35	0.08	0.22	0.43
